percent	matchen	wrong
27.443272035462517	1556	456
4.850980758666992	275	91
61.6263231754303	3494	1122
2.769846624987466	157	73
0.017636684009007045	1	0
30.568024802207947	1733	422
0.8644179855074201	49	19
0.0	0	0
9.086457351275852	515	144
0.40564373220716204	23	3
0.0	0	0
93.00060311726162	5273	2671
78.3978042091642	4445	1710
53.51302364213126	3034	1154
90.19679439408439	5114	2324
57.16382197652544	3241	1217
6.387351010526929	362	153
98.92458812168667	5609	13470
97.37406561715262	5521	4908
97.84853003365653	5548	10950
96.95034920828682	5497	4993
93.2300677708217	5286	2263
97.28524278913225	5516	7749
98.02619803292411	5558	3993
97.70851734706334	5540	3174
97.37384501865932	5521	4881
97.21533530099052	5512	2975
86.56383626120432	4908	2128
97.532360294887	5530	3770
94.86987097603934	5379	2531
62.806717126710076	3561	1442
96.52750440325056	5473	3211
90.61961792537144	5138	2236
26.861675572395324	1523	776
84.97694367000035	4818	3007
27.443272035462517	1556	456
4.850980758666992	275	91
61.6263231754303	3494	1122
2.769846624987466	157	73
0.017636684009007045	1	0
30.568024802207947	1733	422
0.8644179855074201	49	19
0.0	0	0
9.086457351275852	515	144
0.40564373220716204	23	3
0.0	0	0
91.90668239593506	5211	2524
77.07505762917656	4370	1596
51.943352815083095	2945	1072
89.22655630111694	5059	2213
55.85848156384059	3167	1153
6.104943549633026	346	142
97.5497930254255	5531	11434
94.9584842136928	5384	3805
97.07317243303571	5504	10223
94.99311196463448	5386	4347
90.76201782226562	5146	1960
95.38025883265904	5408	7131
96.06894040788923	5447	3432
95.5393926348005	5417	2677
96.1401371547154	5451	4443
95.41724766322545	5410	2552
83.63612580980573	4742	1827
95.89171763828823	5437	3467
92.77152470179966	5260	2236
60.67224798543113	3440	1241
94.95826901027135	5384	2940
